Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,system,language
get Leftmost Descendant,V NM N,V NM N,V NM N,V N N,{'corenlp.srcml.xml_identifiers'},Java
get Max Shingle Diff,V NM NM N,V N N N,V NM NM N,V N N N,{'elasticsearch.srcml.xml_identifiers'},Java
get Number Of Transitions,V N P NPL,V N P N,V N P N,V N P NPL,{'antlr4.srcml.xml_identifiers'},Java
get Operations Reads,V NM NPL,V N N,V NM N,V N N,{'elasticsearch.srcml.xml_identifiers'},Java
get Phrase 1,V N D,V N N,V N D,V N D,{'corenlp.srcml.xml_identifiers'},Java
get PID No Exceptions,V N DT NPL,V N NM N,V NM DT N,V N N NPL,{'corenlp.srcml.xml_identifiers'},Java
get Raw Arguments,V NM NPL,V NM N,V NM N,V N NPL,{'mockito.srcml.xml_identifiers'},Java
is Blocked By Shutdown,V V P N,V NM P N,V N P N,V V P N,{'jenkins.srcml.xml_identifiers'},Java
init For Group,V P N,V P N,V P N,V P N,{'Telegram.srcml.xml_identifiers'},Java
is Android,V N,V N,V N,V N,{'mockito.srcml.xml_identifiers'},Java
is Conscrypt Preferred,V N V,V N V,V NM N,V N N,{'okhttp.srcml.xml_identifiers'},Java
is Dependency Changed,V N V,V N V,V NM N,V N N,{'antlr4.srcml.xml_identifiers'},Java
keep Readability Only On Descendants,V NM VM P NPL,POSSEFAILURE,V NM N P N,V N VM P NPL,{'jenkins.srcml.xml_identifiers'},Java
make HTML Table,V NM N,V N N,V NM N,V N N,{'corenlp.srcml.xml_identifiers'},Java
mark As Fetching,V P V,V P NM,NM N V,V P N,{'elasticsearch.srcml.xml_identifiers'},Java
match By IP,V P N,V P N,V P N,V P N,{'elasticsearch.srcml.xml_identifiers'},Java
matches Any Parent Categories,V DT NM NPL,N DT N N,V DT NM N,V DT N NPL,{'junit4.srcml.xml_identifiers'},Java
metadata Snapshot,NM N,N N,NM N,V N,{'elasticsearch.srcml.xml_identifiers'},Java
new Exchange,NM N,V,NM N,NM N,{'okhttp.srcml.xml_identifiers'},Java
next Unassigned,NM NM,POSSEFAILURE,DT P,NM N,{'junit4.srcml.xml_identifiers'},Java
null Passed To Verify No More Interactions,N V P V VM DT NPL,POSSEFAILURE,NM NM NM NM DT DT N,NM V P V DT NM NPL,{'mockito.srcml.xml_identifiers'},Java
nulls Ok,NPL NM,N NM,NM N,NPL V,{'junit4.srcml.xml_identifiers'},Java
object With To String,N P P N,POSSEFAILURE,V P NM N,V P P N,{'junit4.srcml.xml_identifiers'},Java
on Group Call Key Sent,P NM NM N NM,P N N NM N,NM NM NM N P,P N N N N,{'Telegram.srcml.xml_identifiers'},Java
on Implies,P V,P N,NM N,P NPL,{'jenkins.srcml.xml_identifiers'},Java
order With,V P,POSSEFAILURE,V P,V N,{'junit4.srcml.xml_identifiers'},Java
parent Pairs,NM NPL,V N,V N,N NPL,{'corenlp.srcml.xml_identifiers'},Java
parse Attribute Def,V NM N,V N N,V NM N,V N N,{'antlr4.srcml.xml_identifiers'},Java
parse Expires,V NPL,V N,V N,V NPL,{'okhttp.srcml.xml_identifiers'},Java
parse Max Age,V NM N,V N N,V NM N,V N N,{'okhttp.srcml.xml_identifiers'},Java
push Reset Later,V N VM,V N NM,V NM N,V N VM,{'okhttp.srcml.xml_identifiers'},Java
read Response,V N,V N,V N,V N,{'okhttp.srcml.xml_identifiers'},Java
read White Space,V NM N,V NM N,V NM N,V N N,{'corenlp.srcml.xml_identifiers'},Java
report No Setter Found,V DT N V,V NM N N,NM DT N P,V N N N,{'mockito.srcml.xml_identifiers'},Java
require Client Auth,V NM N,V N N,V NM N,V N N,{'okhttp.srcml.xml_identifiers'},Java
reset Meta Class Cache,V NM NM N,V N N N,V NM NM N,V N N N,{'jenkins.srcml.xml_identifiers'},Java
run Methods,V NPL,V N,V N,V NPL,{'junit4.srcml.xml_identifiers'},Java
send String,V N,V N,V N,V N,{'openFrameworks.srcml.xml_identifiers'},Java
set Canonical Mention Begin,V NM NM N,V NM N N,V NM NM N,V N N N,{'corenlp.srcml.xml_identifiers'},Java
set Extra Interfaces,V NM NPL,V NM N,V NM N,V N NPL,{'mockito.srcml.xml_identifiers'},Java
set Project Naming Strategy,V NM NM N,V N NM N,V NM NM N,V N N N,{'jenkins.srcml.xml_identifiers'},Java
simulate GC,V N,V N,V N,V N,{'corenlp.srcml.xml_identifiers'},Java
skip Whitespace And Commas,V N CJ NPL,V N N N,V NM NM N,V N CJ N,{'okhttp.srcml.xml_identifiers'},Java
speaker,N,N,N,N,{'corenlp.srcml.xml_identifiers'},Java
split Argument List,V NM N,V N N,V NM N,V N N,{'antlr4.srcml.xml_identifiers'},Java
start Matched Count Dec,V NM N V,V NM N N,V NM NM N,V N N N,{'corenlp.srcml.xml_identifiers'},Java
strip Left Recursion,V NM N,V NM N,V NM N,V V N,{'antlr4.srcml.xml_identifiers'},Java
target Started,N V,N V,N P,V V,{'jenkins.srcml.xml_identifiers'},Java
throw Provision Exception If Errors Exist,V NM N CJ NPL V,V N N N N N,V NM NM NM NM N,V N N P N N,{'elasticsearch.srcml.xml_identifiers'},Java
training Examples,NM NPL,N N,V N,N NPL,{'corenlp.srcml.xml_identifiers'},Java
uncompress If Needed,V CJ V,V N V,NM N P,V P N,{'elasticsearch.srcml.xml_identifiers'},Java
url From Json,N P N,POSSEFAILURE,V P N,V P N,{'okhttp.srcml.xml_identifiers'},Java
validate Class Rules,V NM NPL,V N N,V NM N,V N N,{'junit4.srcml.xml_identifiers'},Java
validate Public Static Void Methods,V NM NM NM NPL,V NM NM NM N,V NM NM NM N,V N N N NPL,{'junit4.srcml.xml_identifiers'},Java
verification Started,N V,N V,N P,N V,{'mockito.srcml.xml_identifiers'},Java
with Charset,P N,P N,P N,P N,{'okhttp.srcml.xml_identifiers'},Java
with Web Socket Upgrade,P NM NM N,P N N N,P NM NM N,P N N N,{'okhttp.srcml.xml_identifiers'},Java
wrap If Not Thread Safe,V CJ VM NM N,POSSEFAILURE,V NM DT NM N,V P VM N N,{'junit4.srcml.xml_identifiers'},Java
actual Suffix,NM N,NM N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
adding,V,N,N,NM,{'jenkins.srcml.xml_identifiers'},Java
all action Roots,DT NM NPL,DT N N,DT NM N,DT N NPL,{'antlr4.srcml.xml_identifiers'},Java
all Invocation Matchers,DT NM NPL,DT N N,DT NM N,DT N NPL,{'mockito.srcml.xml_identifiers'},Java
all Open Indices,DT NM NPL,DT NM N,DT NM N,DT N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
avg Map,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
base Category,NM N,NM N,NM N,V N,{'corenlp.srcml.xml_identifiers'},Java
best Node,NM N,NM N,NM N,NM N,{'corenlp.srcml.xml_identifiers'},Java
cache Body Unbuffered,NM N NM,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
cache Entity,NM N,N N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
child Categories,NM NPL,N N,NM N,N NPL,{'junit4.srcml.xml_identifiers'},Java
client Certificates,NM NPL,N N,NM N,N NPL,{'okhttp.srcml.xml_identifiers'},Java
cmd Lines,NM NPL,N N,NM N,NM N,{'jenkins.srcml.xml_identifiers'},Java
code Exception Message,NM NM N,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
compare Fields By Name,V NPL P N,V N P N,NM NM NM N,V N P N,{'mockito.srcml.xml_identifiers'},Java
copy Item,NM N,N N,NM N,V N,{'Telegram.srcml.xml_identifiers'},Java
curr Thread Exception,NM NM N,N N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
current Open Shards,NM NM NPL,NM NM N,NM NM N,NM N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
d inf,NM N,NM N,NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
DEFAULT BLOCKED ITEM COMPARATOR,NM NM NM N,N NM N N,NM NM NM N,N N N N,{'jenkins.srcml.xml_identifiers'},Java
dependencies ST,NM N,N N,NM N,V N,{'antlr4.srcml.xml_identifiers'},Java
end Of Input,N P N,V P N,NM NM N,V P N,{'antlr4.srcml.xml_identifiers'},Java
enum Count,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
equals Builder,NM N,N N,NM N,V N,{'mockito.srcml.xml_identifiers'},Java
equals Offset,NM N,N N,NM N,V N,{'okhttp.srcml.xml_identifiers'},Java
executors,NPL,N,N,NPL,{'jenkins.srcml.xml_identifiers'},Java
expected String,NM N,NM N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
extra Interfaces,NM NPL,NM N,NM N,NM NPL,{'mockito.srcml.xml_identifiers'},Java
factory Class,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
filter Spec,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
finished Normally,V VM,POSSEFAILURE,NM N,NM VM,{'elasticsearch.srcml.xml_identifiers'},Java
first Space,NM N,NM N,NM N,VM N,{'okhttp.srcml.xml_identifiers'},Java
followUp,N,N,N,N,{'okhttp.srcml.xml_identifiers'},Java
format OK,N NM,V N,NM N,N NM,{'antlr4.srcml.xml_identifiers'},Java
free Positions,NM NPL,NM N,NM N,NM NPL,{'corenlp.srcml.xml_identifiers'},Java
generated Token On Creation,NM N P N,POSSEFAILURE,NM NM NM N,NM N N N,{'jenkins.srcml.xml_identifiers'},Java
id Mention,N NM,N N,NM N,P N,{'corenlp.srcml.xml_identifiers'},Java
idp Configuration,NM N,N N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
IMPLICIT GROUP KEY,NM NM N,NM N N,NM NM N,N N N,{'elasticsearch.srcml.xml_identifiers'},Java
in Cache,P N,P N,NM N,P N,{'Telegram.srcml.xml_identifiers'},Java
indexes Of Suspicious Args,NPL P NM NPL,N P NM N,NM NM NM N,NPL P NM NPL,{'mockito.srcml.xml_identifiers'},Java
interface Bounds,NM NPL,N N,NM N,N NPL,{'mockito.srcml.xml_identifiers'},Java
jar URL Connection,NM NM N,N N N,NM NM N,N N N,{'jenkins.srcml.xml_identifiers'},Java
key Begin,NM N,NM N,NM N,NM N,{'okhttp.srcml.xml_identifiers'},Java
left Sisters Buffer,NM NM N,NM N N,NM NM N,NM NPL N,{'corenlp.srcml.xml_identifiers'},Java
loaded mentions count,NM NM N,NM N N,NM NM N,NM V N,{'Telegram.srcml.xml_identifiers'},Java
logger Name Parts,NM NM NPL,N N N,NM NM N,N N NPL,{'jenkins.srcml.xml_identifiers'},Java
max Age Seconds Long,NM NM NPL NM,N N N NM,NM NM NM N,V N N N,{'okhttp.srcml.xml_identifiers'},Java
merged Type,NM N,NM N,NM N,NM N,{'elasticsearch.srcml.xml_identifiers'},Java
method Handles,NM NPL,N N,NM N,N V,{'mockito.srcml.xml_identifiers'},Java
minimized Random FA,NM NM N,NM NM N,NM NM N,NM N N,{'corenlp.srcml.xml_identifiers'},Java
missing Classes,NM NPL,NM N,NM N,NM NPL,{'elasticsearch.srcml.xml_identifiers'},Java
mock Method,NM N,NM N,NM N,NM N,{'mockito.srcml.xml_identifiers'},Java
mx Bean,NM N,N N,NM N,P N,{'junit4.srcml.xml_identifiers'},Java
network Security Policy,NM NM N,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
new Rule Text,NM NM N,NM N N,NM NM N,NM N V,{'antlr4.srcml.xml_identifiers'},Java
new Warning Header Size,NM NM NM N,NM NM N N,NM NM NM N,NM N N N,{'elasticsearch.srcml.xml_identifiers'},Java
next Search,NM N,NM N,DT N,VM V,{'elasticsearch.srcml.xml_identifiers'},Java
non Greedy States Builder,NM NM NM N,POSSEFAILURE,NM NM NM N,NM N N N,{'antlr4.srcml.xml_identifiers'},Java
num States,NM NPL,N N,NM N,V N,{'corenlp.srcml.xml_identifiers'},Java
one Document,NM N,NM N,NM N,D N,{'corenlp.srcml.xml_identifiers'},Java
open Class Tags,NM NM NPL,NM N N,NM NM N,NM N N,{'corenlp.srcml.xml_identifiers'},Java
order With,V P,V P,NM N,V N,{'junit4.srcml.xml_identifiers'},Java
parts Size,NM N,N N,NM N,NPL N,{'elasticsearch.srcml.xml_identifiers'},Java
previous Stream Id,NM NM N,NM N N,NM NM N,NM N N,{'okhttp.srcml.xml_identifiers'},Java
provider Code,NM N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
raw Extra Interfaces,NM NM NPL,NM NM N,NM NM N,NM N NPL,{'mockito.srcml.xml_identifiers'},Java
received Token Signature,NM NM N,NM NM N,NM NM N,NM N N,{'jenkins.srcml.xml_identifiers'},Java
recorded Matchers Size,NM NM N,NM N N,NM NM N,NM NPL N,{'mockito.srcml.xml_identifiers'},Java
reduced Json,NM N,NM N,NM N,NM N,{'jenkins.srcml.xml_identifiers'},Java
requested Plugins,NM NPL,NM N,NM N,NM N,{'jenkins.srcml.xml_identifiers'},Java
rounded Bounds,NM NPL,NM N,NM N,NM N,{'elasticsearch.srcml.xml_identifiers'},Java
rtm Session,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
rules Of New Chain,N P NM N,N P NM N,NM NM NM N,NPL P N N,{'junit4.srcml.xml_identifiers'},Java
score Pos Prev,NM N NM,N N N,NM NM N,V N N,{'corenlp.srcml.xml_identifiers'},Java
sentence List,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
set Prev Ctx Action,NM NM NM N,NM N N N,NM NM NM N,NM N N N,{'antlr4.srcml.xml_identifiers'},Java
size Guess,NM N,NM N,NM N,N V,{'jenkins.srcml.xml_identifiers'},Java
size Per Span,N P N,NM N N,NM NM N,N P N,{'Telegram.srcml.xml_identifiers'},Java
status File,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
stream Headers,NM NPL,N N,NM N,N NPL,{'okhttp.srcml.xml_identifiers'},Java
thread Array Size,NM NM N,N N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
token Data,NM N,NM N,NM N,NM N,{'jenkins.srcml.xml_identifiers'},Java
token Store Typed Data,NM NM NM N,NM N N N,NM NM NM N,NM N N N,{'jenkins.srcml.xml_identifiers'},Java
token Type S,NM NM N,NM N N,NM NM N,NM N N,{'antlr4.srcml.xml_identifiers'},Java
tune Treebank,NM N,N N,NM N,V N,{'corenlp.srcml.xml_identifiers'},Java
utc Timestamp Ms,NM NM NPL,N N N,NM NM N,V N N,{'Telegram.srcml.xml_identifiers'},Java
v Tok,NM N,NM N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
value Count String,NM NM N,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
var Args,NM NPL,N N,NM N,N N,{'mockito.srcml.xml_identifiers'},Java
vary Fields,NM NPL,N N,NM N,V N,{'okhttp.srcml.xml_identifiers'},Java
verification Over Time,N P N,POSSEFAILURE,NM NM N,N N N,{'mockito.srcml.xml_identifiers'},Java
wait Until,V P,V P,NM N,V P,{'jenkins.srcml.xml_identifiers'},Java
wrapper Class,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
x Distance,NM N,NM N,NM N,N N,{'openFrameworks.srcml.xml_identifiers'},Java
accepting Tasks,NM NPL,NM N,NM N,NM NPL,{'jenkins.srcml.xml_identifiers'},Java
alt Name,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
App ID,NM N,NM N,NM N,N N,{'opencv.srcml.xml_identifiers'},Java
arg Mismatch Stubbings,NM NM NPL,N N N,NM NM N,N N NPL,{'mockito.srcml.xml_identifiers'},Java
array Class,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
assigns,NPL,V,N,V,{'junit4.srcml.xml_identifiers'},Java
auth Result,NM N,N N,NM N,NM N,{'jenkins.srcml.xml_identifiers'},Java
backprop Training,NM N,N N,NM N,NM N,{'corenlp.srcml.xml_identifiers'},Java
breaker Consumer,NM N,N N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
build Context,NM N,N N,NM N,V N,{'antlr4.srcml.xml_identifiers'},Java
call Id,NM N,N N,NM N,V N,{'okhttp.srcml.xml_identifiers'},Java
cause Matcher,NM N,N N,NM N,V N,{'junit4.srcml.xml_identifiers'},Java
child Statement,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
classfile Buffer,NM N,N N,NM N,V N,{'mockito.srcml.xml_identifiers'},Java
cmd Str,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
code Point To,NM N P,V N P,NM NM N,V N P,{'antlr4.srcml.xml_identifiers'},Java
concrete Follower Indices,NM NM NPL,NM N N,NM NM N,NM N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
content Type String,NM NM N,NM N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
current Invocation,NM N,NM N,NM N,NM N,{'mockito.srcml.xml_identifiers'},Java
current Prefix,NM N,NM N,NM N,NM N,{'jenkins.srcml.xml_identifiers'},Java
data Point Method,NM NM N,N N N,NM NM N,NPL N N,{'junit4.srcml.xml_identifiers'},Java
default Role,NM N,N N,NM N,N N,{'jenkins.srcml.xml_identifiers'},Java
dep H,NM N,N N,NM N,V N,{'corenlp.srcml.xml_identifiers'},Java
encoded Values,NM N,N N,NM N,NM NPL,{'okhttp.srcml.xml_identifiers'},Java
env Name,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
excess Workload,NM N,NM N,NM N,NM N,{'jenkins.srcml.xml_identifiers'},Java
file Channel,NM N,N N,NM N,V N,{'okhttp.srcml.xml_identifiers'},Java
final Response,NM N,NM N,NM N,NM N,{'elasticsearch.srcml.xml_identifiers'},Java
flags Classifier Pair,NM NM N,N N N,NM NM N,NPL N N,{'corenlp.srcml.xml_identifiers'},Java
from Server,P N,P N,NM N,P N,{'Telegram.srcml.xml_identifiers'},Java
get Protocol Method,NM NM N,N N N,NM NM N,V N N,{'okhttp.srcml.xml_identifiers'},Java
group Role Attribute,NM NM N,N N N,NM NM N,N N N,{'jenkins.srcml.xml_identifiers'},Java
highlighter,N,N,N,N,{'elasticsearch.srcml.xml_identifiers'},Java
http2 Error Code,NM NM N,N N N,NM NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
i ar e,NM NM N,NM N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
id A,NM N,POSSEFAILURE,NM N,N N,{'jenkins.srcml.xml_identifiers'},Java
import G,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
inbound,NM,NM,N,NM,{'okhttp.srcml.xml_identifiers'},Java
ios,N,N,N,N,{'jenkins.srcml.xml_identifiers'},Java
label Op,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
label Pair,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
labels File,NM N,N N,NM N,V N,{'corenlp.srcml.xml_identifiers'},Java
learned Lop Expert Weights 2 D,NM NM NM NPL D N,NM N NM N NM N,NM NM NM NM NM N,NM N N N D N,{'corenlp.srcml.xml_identifiers'},Java
led Color,NM N,N N,NM N,NM N,{'Telegram.srcml.xml_identifiers'},Java
lp Binary Path Name,PRE NM NM N,N NM N N,NM NM NM N,N NM N N,{'jenkins.srcml.xml_identifiers'},Java
max Intermediate Cas,NM NM NPL,N NM N,NM NM N,V N N,{'okhttp.srcml.xml_identifiers'},Java
max Requests Per Host,NM NPL P N,N N N N,NM NM NM N,N NPL P N,{'okhttp.srcml.xml_identifiers'},Java
media Chunk Index,NM NM N,N N N,NM NM N,NPL N N,{'Telegram.srcml.xml_identifiers'},Java
method Name Prefixes,NM NM NPL,N N N,NM NM N,N N NPL,{'junit4.srcml.xml_identifiers'},Java
min Fresh,NM N,N NM,NM N,N NM,{'okhttp.srcml.xml_identifiers'},Java
min Fresh Seconds,NM NM NPL,N NM N,NM NM N,N NM NPL,{'okhttp.srcml.xml_identifiers'},Java
mock Creation Settings,NM NM NPL,NM N N,NM NM N,NM N NPL,{'mockito.srcml.xml_identifiers'},Java
named Writeables,NM NPL,N N,NM N,NM NPL,{'elasticsearch.srcml.xml_identifiers'},Java
new Field Type,NM NM N,NM N N,NM NM N,NM N N,{'elasticsearch.srcml.xml_identifiers'},Java
new Files,NM NPL,NM N,NM N,NM NPL,{'corenlp.srcml.xml_identifiers'},Java
new Verification Mode,NM NM N,NM N N,NM NM N,NM N N,{'mockito.srcml.xml_identifiers'},Java
nullable Class,NM N,NM N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
num Keys,NM NPL,N N,NM N,V N,{'corenlp.srcml.xml_identifiers'},Java
number Str,NM N,N N,NM N,N N,{'jenkins.srcml.xml_identifiers'},Java
ordered Invocations,NM NPL,NM N,NM N,NM NPL,{'mockito.srcml.xml_identifiers'},Java
original Set,NM N,NM N,NM N,N V,{'elasticsearch.srcml.xml_identifiers'},Java
outer Rule,NM N,NM N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
packet Sample Count,NM NM N,N N N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
parameter Assignment,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
parent Had Big Change,N V NM N,V N NM N,NM NM NM N,N NM N N,{'elasticsearch.srcml.xml_identifiers'},Java
polling Log,NM N,N N,NM N,N N,{'jenkins.srcml.xml_identifiers'},Java
pre Map,P N,N N,NM N,NM N,{'corenlp.srcml.xml_identifiers'},Java
promises,NPL,N,N,NPL,{'okhttp.srcml.xml_identifiers'},Java
pronoun,N,N,N,N,{'corenlp.srcml.xml_identifiers'},Java
property Interval Set,NM NM N,N N N,NM NM N,N N V,{'antlr4.srcml.xml_identifiers'},Java
put Watch Request,NM NM N,N N N,NM NM N,V N N,{'elasticsearch.srcml.xml_identifiers'},Java
query Timeout In Ms,NM N P NPL,V N P N,NM NM NM N,V N P N,{'elasticsearch.srcml.xml_identifiers'},Java
question AST,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
reader Flags,NM NPL,N N,NM N,N NPL,{'mockito.srcml.xml_identifiers'},Java
referee Set Map,NM NM N,N NM N,NM NM N,N V N,{'jenkins.srcml.xml_identifiers'},Java
refresh Metric,NM N,N N,NM N,V N,{'elasticsearch.srcml.xml_identifiers'},Java
remote Cluster Names,NM NM NPL,NM N N,NM NM N,NM N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
resume,V,V,N,V,{'Telegram.srcml.xml_identifiers'},Java
retain Function,NM N,N N,NM N,V N,{'corenlp.srcml.xml_identifiers'},Java
runner Factory,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
search Profile Results,NM NM NPL,N N N,NM NM N,V N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
set Protocol Method,NM NM N,NM N N,NM NM N,NM N N,{'okhttp.srcml.xml_identifiers'},Java
status File,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
super Method,NM N,NM N,NM N,NM N,{'mockito.srcml.xml_identifiers'},Java
supplier Class,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
tex ID,NM N,N N,NM N,V N,{'openFrameworks.srcml.xml_identifiers'},Java
the Invocation,DT N,POSSEFAILURE,DT N,DT N,{'mockito.srcml.xml_identifiers'},Java
timeout Task,NM N,N N,NM N,V N,{'elasticsearch.srcml.xml_identifiers'},Java
times To Append Last Matcher,NPL P V NM N,V P N NM N,NM NM NM DT N,NPL P V NM N,{'mockito.srcml.xml_identifiers'},Java
token Within Action,N P N,N  V,NM NM N,NM P N,{'antlr4.srcml.xml_identifiers'},Java
typed Array,NM N,N N,NM N,NM N,{'mockito.srcml.xml_identifiers'},Java
waiting List,NM N,NM N,NM N,NM N,{'jenkins.srcml.xml_identifiers'},Java
will Return Last Parameter,V V NM N,V N NM N,NM NM DT N,V N NM N,{'mockito.srcml.xml_identifiers'},Java
word Lemma Tag,NM NM N,N N N,NM NM N,N N N,{'corenlp.srcml.xml_identifiers'},Java
wrapped Verification,NM N,NM N,NM N,NM N,{'mockito.srcml.xml_identifiers'},Java
z probs,NM NPL,N N,NM N,N NPL,{'corenlp.srcml.xml_identifiers'},Java
action To Index Map,N P NM N,V P N N,NM NM NM N,N P N N,{'antlr4.srcml.xml_identifiers'},Java
active Copies,NM NPL,NM N,NM N,NM NPL,{'elasticsearch.srcml.xml_identifiers'},Java
actual Count,NM N,NM N,NM N,NM N,{'mockito.srcml.xml_identifiers'},Java
add Bias To Embedding,V N P N,V N P N,NM NM NM N,V N P N,{'corenlp.srcml.xml_identifiers'},Java
ADDRESS TYPE IPV4,NM NM N,N N N,NM NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
all Stubbings,DT NPL,DT N,DT N,DT N,{'mockito.srcml.xml_identifiers'},Java
alt Label Ctxs,NM NM NPL,N N N,NM NM N,NM N NPL,{'antlr4.srcml.xml_identifiers'},Java
ATOM,N,N,N,N,{'antlr4.srcml.xml_identifiers'},Java
attribute Decls,NM NPL,N N,NM N,V N,{'antlr4.srcml.xml_identifiers'},Java
b Is Playing,PRE V V,V N,NM NM N,N V NM,{'openFrameworks.srcml.xml_identifiers'},Java
bean Configs,NM NPL,N N,NM N,N NPL,{'jenkins.srcml.xml_identifiers'},Java
befores,NPL,N,N,NPL,{'junit4.srcml.xml_identifiers'},Java
BUCKETS PATH FIELD,NM NM N,N N N,NM NM N,N N N,{'elasticsearch.srcml.xml_identifiers'},Java
build Timestamp,NM N,N N,NM N,V N,{'jenkins.srcml.xml_identifiers'},Java
bytes Received,NPL NM,N NM,NM N,V N,{'okhttp.srcml.xml_identifiers'},Java
caching Mock Bytecode Generator,NM NM NM N,N NM N N,NM NM NM N,NM N N N,{'mockito.srcml.xml_identifiers'},Java
certificate Chain Cleaner,NM NM N,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
client,N,N,N,N,{'okhttp.srcml.xml_identifiers'},Java
client Number,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
CODES,NPL,N,N,NPL,{'okhttp.srcml.xml_identifiers'},Java
context Length,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
cookie Jar,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
current Filename,NM N,NM N,NM N,NM N,{'corenlp.srcml.xml_identifiers'},Java
default Answer,NM N,N N,NM N,V N,{'mockito.srcml.xml_identifiers'},Java
DEFAULT FACTORY,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
DEFAULT FLAGS,NM NPL,N N,NM N,N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
DEVELOPMENT,N,N,N,N,{'jenkins.srcml.xml_identifiers'},Java
dynamic Table Byte Count,NM NM NM N,NM N N N,NM NM NM N,NM N N N,{'okhttp.srcml.xml_identifiers'},Java
EMBEDDED VERSION,NM N,NM N,NM N,N N,{'jenkins.srcml.xml_identifiers'},Java
EMPTY DIRECTORY,NM N,NM N,NM N,NM N,{'elasticsearch.srcml.xml_identifiers'},Java
encoded Path Segments,NM NM NPL,N N N,NM NM N,NM N NPL,{'okhttp.srcml.xml_identifiers'},Java
exception Channels,NM NPL,N N,NM N,N NPL,{'Telegram.srcml.xml_identifiers'},Java
extract Events,V NPL,V N,NM N,N NPL,{'corenlp.srcml.xml_identifiers'},Java
f Context Length,PRE NM N,N N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
f Matcher,PRE N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
FEED ADAPTER,NM N,N N,NM N,N N,{'jenkins.srcml.xml_identifiers'},Java
filtered Children,NM NPL,N N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
